shop_num,num_cash_desk,dt,doc_id,item,category,amount,price,discount
2,3,2026-06-04,7576799836,Кондиционер,бытовая химия,9,1334.93,138.96
2,3,2026-06-04,7576799836,Свеча декоративная,декор и интерьер,8,1386.38,134.95
2,3,2026-06-04,7576799836,Отбеливатель,бытовая химия,1,1115.62,294.61
2,3,2026-06-04,7576799836,Скатерть,текстиль,1,3007.82,123.48
2,3,2026-06-04,7576799836,Ведро,инвентарь для уборки,5,7620.06,2181.13
2,3,2026-06-04,7576799836,Ложка столовая,посуда,10,9920.11,139.69
2,3,2026-06-04,7576799836,Совок,инвентарь для уборки,9,227.66,34.95
2,3,2026-06-04,7576799836,Лопатка силиконовая,кухонная утварь,5,2407.18,266.78
2,3,2026-06-04,7576799836,Ведро,инвентарь для уборки,2,9330.29,2190.3
2,3,2026-06-04,bc0c0d8fd6,Коврик резиновый,товары для ванной,6,1979.15,474.86
2,3,2026-06-04,bc0c0d8fd6,Порошок стиральный,бытовая химия,4,2240.59,107.48
2,3,2026-06-04,bc0c0d8fd6,Кастрюля,кухонная утварь,4,5104.09,584.75
2,3,2026-06-04,bc0c0d8fd6,Швабра с отжимом,инвентарь для уборки,10,5253.3,91.41
2,3,2026-06-04,bc0c0d8fd6,Скатерть,текстиль,7,8016.19,2303.06
2,3,2026-06-04,bc0c0d8fd6,Тарелка глубокая,посуда,10,1765.79,470.44
2,3,2026-06-04,bc0c0d8fd6,Средство для мытья окон,бытовая химия,8,7646.36,759.52
2,3,2026-06-04,bc0c0d8fd6,Держатель для туалетной бумаги,товары для ванной,1,5928.54,1594.97
2,3,2026-06-04,bc0c0d8fd6,Скатерть,текстиль,6,3930.84,1051.92
2,3,2026-06-04,af52038a15,Лопатка силиконовая,кухонная утварь,10,3119.6,131.63
2,3,2026-06-04,af52038a15,Гель для посуды,бытовая химия,4,7376.8,1134.95
2,3,2026-06-04,af52038a15,Салатник стеклянный,посуда,10,6167.98,1378.78
2,3,2026-06-04,af52038a15,Полотенце вафельное,текстиль,10,3627.53,860.97
2,3,2026-06-04,af52038a15,Терка,кухонная утварь,6,4135.78,149.9
2,3,2026-06-04,af52038a15,Мыльница пластиковая,товары для ванной,3,3326.76,886.54
2,3,2026-06-04,af52038a15,Доска разделочная,кухонная утварь,8,7267.67,1132.42
2,3,2026-06-04,768ca6819d,Коврик резиновый,товары для ванной,6,3115.79,845.07
2,3,2026-06-04,768ca6819d,Лопатка силиконовая,кухонная утварь,2,4859.28,1383.05
2,3,2026-06-04,768ca6819d,Настенные часы,декор и интерьер,1,7010.06,635.5
2,3,2026-06-04,768ca6819d,Отбеливатель,бытовая химия,3,9591.94,2830.69
2,3,2026-06-04,768ca6819d,Совок,инвентарь для уборки,10,2544.06,2.47
2,3,2026-06-04,768ca6819d,Держатель для туалетной бумаги,товары для ванной,1,1691.05,201.19
2,3,2026-06-04,768ca6819d,Гель для посуды,бытовая химия,2,6517.62,478.37
2,3,2026-06-04,f4a913be9c,Подсвечник керамический,декор и интерьер,2,4742.55,1307.39
2,3,2026-06-04,f4a913be9c,Кастрюля,кухонная утварь,9,2821.39,471.79
2,3,2026-06-04,f4a913be9c,Терка,кухонная утварь,5,9704.74,2735.22
2,3,2026-06-04,f4a913be9c,Шторка для душа,товары для ванной,10,9066.3,603.28
2,3,2026-06-04,f4a913be9c,Ведро,инвентарь для уборки,2,264.38,17.39
2,3,2026-06-04,f4a913be9c,Контейнер пластиковый,хранение,9,2800.89,143.4
2,3,2026-06-04,f4a913be9c,Таз,инвентарь для уборки,8,275.46,71.46
2,3,2026-06-04,f4a913be9c,Стакан граненый,посуда,4,349.12,99.28
2,3,2026-06-04,f4a913be9c,Контейнер пластиковый,хранение,10,8473.35,1399.48
2,3,2026-06-04,f4a913be9c,Ведро,инвентарь для уборки,6,1760.18,181.04
2,3,2026-06-04,f4a913be9c,Ложка столовая,посуда,8,792.17,99.15
2,3,2026-06-04,f4a913be9c,Стакан граненый,посуда,10,3583.29,971.78
2,3,2026-06-04,f4a913be9c,Держатель для туалетной бумаги,товары для ванной,2,3140.03,840.42
2,3,2026-06-04,f4a913be9c,Кружка керамическая,посуда,6,8410.4,47.22
2,3,2026-06-04,f4a913be9c,Простыня на резинке,текстиль,6,8981.72,1433.4
2,3,2026-06-04,04a3e65aff,Мыльница пластиковая,товары для ванной,7,7101.74,1691.48
2,3,2026-06-04,04a3e65aff,Сковорода антипригарная,кухонная утварь,10,1133.76,121.94
2,3,2026-06-04,04a3e65aff,Отбеливатель,бытовая химия,7,2978.96,248.84
2,3,2026-06-04,1b286e06db,Контейнер пластиковый,хранение,3,9858.61,393.72
2,3,2026-06-04,1b286e06db,Порошок стиральный,бытовая химия,7,4729.36,949.57
2,3,2026-06-04,1b286e06db,Отбеливатель,бытовая химия,4,1953.5,164.97
2,3,2026-06-04,1b286e06db,Тряпка,инвентарь для уборки,6,3003.21,76.86
